Relates to User Story ID,Req ID,Section,Area,Requirement*,Priority,Source,Change Status,Acceptance criteria*,Build Version,Resolution Status,Notes,Tech Notes
,ADF-9,ADKP Facet Definitions,Model organisms,species: Homo sapiens / mouse model (with genotype). mouseModel: genotype background. Tier 1. modelGenotypeBackground: Tier 1.,Should Have,New - Requirements v2.0,New,Species and mouse model filters available. Human and model organism data clearly distinguished in UI.,,Approved,,no additional tech work identified
"GA-1, GA-2, GA-3",ARQ-1,Architecture,Query layer,"The virtual table, materialized views, and source tables (syn52234652 for ELITE, syn72123781 for ADKP) SHALL NOT be the direct data source for the cohort builder UI to preserve privacy of individual, row-level information.",Must Have,New - Requirements v2.0,New,"Network inspection confirms no direct Synapse table queries from the cohort builder UI. Table, MV, and Virtual table access is limited to internal Sage curation teams.",2,Needs Discussion,Needs architectural development,"User journey:
1. Data manager creates source tables
2. Source tables are private to registered user
3. Registered user can query CB
4. Registered user requests access to data
5. Registered user with access will query the data directly to rediscover their cohort

Ux for this user journey also needs to be mapped out and needs to be seamless"
"GA-1, GA-2, R-4",ARQ-2,Architecture,Query layer,The query interface SHALL return only aggregated counts per filter facet value. Individual-level records SHALL never be returned to the client.,Must Have,New - Requirements v2.0,New,"Standard integration testing by engineer, with validation by stakeholders, to confirm individual level records are not returned",2,Needs Discussion,Needs architectural development,"confirmed standard integration test will be written if back end work is needed, may just be curation work on data manager. UI work will be needed"
None,ARQ-3,Architecture,Extensibility,"The cohort builder architecture should be extensible to other research community applications where possible, while respecting domain-specific requirements for facets / metadata and privacy rules which MUST BE defined per portal.",Should Have,New - Requirements v2.0,New,"Design a common architecture that has customizable facets and privacy rules that meet ELITE and ADKP requirements, respectively. ",2,Confirmed,,This is a curation solution that is handled within existing technical constraints
R-12,ARQ-4,Architecture,Query layer,"[Insert query performance requirements, ex. 90% of requests are returned in under 3 seconds and no request exceeds 10 seconds under normal load]",Should Have,New - Requirements v2.0,New,Cohort builder performance should not be noticeably slow.,2,Needs Discussion,Defer to Tech to define performance requirements.,option to display loading icon to provide user with something - UX needed 
None,ARQ-5,Architecture,Extensibility,"The cohort builder architecture enables potential cross-portal cohort querying in a future state. 

Example query: Identify a cohort of individuals aged 85+ who possess at least one APOE ε4 allele and high levels of amyloid-beta deposition, yet have maintained a CDR (Clinical Dementia Rating) score of 0 and a Mini-Mental State Exam (MMSE) score >27 for at least 3 years of longitudinal follow-up.",Should Have,,,Design a common architecture that enables cross-portal cohort discovery between the ADKP and ELITE Portal participants and data. ,4,Confirmed,,"consider for future design, potential synergy with sage brain/knowledge graphs?"
None,ARQ-6,Architecture,Edge case,Architecture must resolve issue around many:many files which explode mapping table sizes and test Synapse row limits. ,Must Have,New - Requirements v2.0,New,Solution is defined and implemented to address inclusion/exclusion of many:many files. (if required) Reasoning is transparent and messaged to users.,2,Confirmed,"Defer to Tech / BDM to solve. Can these file types be tagged and excluded from mappings, and some warning pushed to the UI?","Curation needed in future for edge case: LLFM study is longitudinal study with 5k+ participants, many files tied to many participants (many:many - files:people), querying this potentially breaks synapse. For now, we will exclude this kind of table in CB 2.0 "
"CB-1, CB-3, R-11, R-13, R-14",ELF-1,ELITE Portal Facet Definitions,All,All required variables/facets as documented in Cohort Builder Sensitive Variable Data.docx are available to users. Privacy and sensitivity risks relating to exposure of individual variables or combinations of variables are managed appropriately in line with PCO policy.,Must Have,,,Defer to Cohort Builder Sensitive Variable Data.docx,2-3,Confirmed,,
R-3,EXDA-1,Export & Data Access,Export,System SHALL allow users to export data scoped to files matching their cohort definition.,Must Have,Requirements v1.1,Revised,Export completes successfully. ,4+,Confirmed,,
R-3,EXDA-2,Export & Data Access,Export,"Data export is enabled for all downstream pathways currently enabled (ex. direct download, export to TRE). Exports respect the data access controls applicable to the file scope.",Must Have,New - Requirements v2.0,New,Export options available for users with appropriate access. Export generates compute-environment-compatible manifest.,4+,Needs Discussion,Discuss with Susheel and Solly. Do we need to update the manifest with any cohort-related metadata?,
"CB-1, CB-2, R-11, R-5",FILS-1,Filtering & Search ,Filtering,System SHALL support faceted filtering on cohort attributes. Multiple facet selections SHALL apply AND logic — results match ALL selected criteria.,Must Have,Requirements v1.1,Unchanged,Results show participants matching all disease/age/assay criteria. ,1,Approved,Complete,
None,FILS-7,Filtering & Search ,Filtering,System SHALL support OR NOT query logic,Must Have,,,,2,Confirmed,,"May need to expose advanced sql editor, UI query builder may be needed"
None,FILS-2,Filtering & Search ,Filtering,System SHALL support keyword search with autocomplete.,Must Have,Requirements v1.1,Unchanged,Autocomplete appears <200ms; correct suggestions shown.,2,Needs Discussion,"Defer to Ann C here. Autocomplete is not a hard requirement for EL, faceted search is already available via mySQL. -MV",
None,FILS-3,Filtering & Search ,Filtering,System SHALL disable filtering features when metadata is insufficient for a given study or portal.,Must Have,Requirements v1.1,Unchanged,Feature disabled with explanation when insufficient metadata exists.,2,Needs Discussion,Defer to Ann C. I don't think this is needed. Portal UI already hides variables if no values are available or relevant. -MV,
"R-12, GA-3, R-4",FILS-4,Filtering & Search ,Filtering,System SHALL display a live participant count that updates in real time as filters are applied. Count SHALL be suppressed server-side when below the portal suppression threshold. ,Must Have,New - Requirements v2.0,New,N count updates on each filter interaction within 3 seconds. Count displays <20 when below threshold. Network inspection confirms suppressed counts are not present in response as raw numbers.,2,Needs Discussion,"Live count is already implemented in v1. Suppression when counts are <20 is new. This is a specific solution to address the <20 privacy rule, validate if this is how PCO needs it executed.",
"R-15, R-16",FILS-5,Filtering & Search ,Filtering,"For ELITE, the N count SHALL display both participant count and family count when the active filter set includes LLFS participants.",Must Have,New - Requirements v2.0,New,ELITE filter panel displays 'N = X participants across Y families' when family study participants are in scope. Family count is populated from familyID mapping in backend.,3,Needs Discussion,Depends on FILS-4 but display of how many families are represented is important for EL only to indicate non-independence of samples. -MV,
None,FILS-6,Filtering & Search ,Filtering,System SHOULD retain applied filters when navigating between participant and file views.,Could Have,New - Requirements v2.0,Clarified,Filters carry over between views where technically feasible. ,2,Needs Discussion,Talk to a bioinformatician about whether this is truly important. This is required in the case where filtering by a file view vs. participant view is beneficial. But does not block any current file-based filtering since we provide those on the participant view. -MV,
"R-11, R-12",NFR-1,Architecture,Usability,Intuitive navigation: 80%+ of users complete core tasks without help.,Must Have,Requirements v1.1,Unchanged,"Metrics defined, tracked, and reported to assess usability.",1.1,Confirmed,,
"GA-1, GA-2, GA-3",NFR-2,Architecture,Security,"[Placeholder for any security related safeguards, ex. encryption, re-identification, brute force attack mitigation, etc.]",Must Have,Requirements v1.1,Unchanged,,1.1,Needs Discussion,Defer to Tech and PCO about which security requirements are critical,
GA-2,PRIV-1,"Privacy, Suppression & Re-identification",Security,System and/or data curation SHALL employ safeguards to prevent participant re-identification and privacy violations,Must Have,Requirements v1.1,Clarified,Privacy review validates re-identification safeguards. Safeguards include: TBD,2,Needs Discussion,Scope with PCO what safeguards are sufficient,
GA-2,PRIV-2,"Privacy, Suppression & Re-identification",Privacy,System and/or data curation SHALL ensure domain-specific privacy risks are appropriately managed,Must Have,Requirements v1.1,Clarified,ROSMAP projid is excluded from all ADKP responses. Others?,2,Needs Discussion,"Discuss with PCO and teams what domain-specific privacy risks there are, if any.",
"R-4, GA-2",PRIV-3,"Privacy, Suppression & Re-identification",Privacy,System SHALL address combination risk arising from display and/or activation of 2+ sensitive variable filters,Must Have,New - Requirements v2.0,New,,2,Needs Discussion,Discuss with PCO and Tech risks and possible solutions,
"GA-1, GA-3",PRIV-4,"Privacy, Suppression & Re-identification",Privacy,"System SHALL query without exposing individual-level data. Users can query for summary statistics but cannot view, download, or edit individual-level data within the cohort builder.",Must Have,New - Requirements v2.0,Unchanged,Users can query for summary statistics only. No individual-level records are accessible via cohort builder UI or API.,2,Confirmed,,
R-2,SAV-1,Cohort Saving & Definition Persistence,Authentication,Cohort saving requires authentication.,Must Have,Requirements v1.1,Unchanged,Save enabled after Synapse login.,3,Confirmed,,
"R-1, R-2, R-6, R-20",SAV-2,Cohort Saving & Definition Persistence,Cohort save,"System SHALL allow authenticated users to save a cohort definition that is persistent across sessions, and NOT a session-only soft save.",Must Have,Requirements v1.1,Revised,"Saved cohort definition persists after session end. User can retrieve saved cohort by name. Saved cohort restores filter state exactly. Save includes Synapse entity with syn ID, version, and state machine.",3,Needs Discussion,"Negotiate the specific acceptance criteria with Ann C. Unclear if ""restoration of exact filter state"" is desired and if so, whether that applies to the filter state, result state, or both. Also confirm what metadata is saved with the cohort definition.",
"R-1, R-2",SAV-3,Cohort Saving & Definition Persistence,Cohort definition,"A saved cohort definition SHALL record: cohort name, version number, filter state, timestamp, Synapse user ID of creator. (?) portal ID, other things?",Must Have,New - Requirements v2.0,New,Saved definition contains all required fields. Definitions created under a Synapse user account.,3,Needs Discussion,Negotiate specific recorded fields with Ann C.,
R-2,SAV-4,Cohort Saving & Definition Persistence,Cohort definition,Saved cohort definitions can be shared with other Synapse users.,Should Have,New - Requirements v2.0,New,,3,Needs Discussion,"Need to scope how this looks, after SAV-1 and SAV-2 are defined.",
"CB-2, R-10, R-13, R-14, R-16",VIZC-1,Visualization & Characterization,Visualization,System SHALL display visualized aggregate statistics for metadata filters.,Must Have,Requirements v1.1,Unchanged,Visualizations displayed for defined filters.,2,Needs Discussion,"Discuss with Solly and Laura desired aggregate stats (temporal, geographical, categorical aggregation; sums, averages, min/max, st dev; specifically cross-tabulation for 2-? variables, upset plots)",
R-12,VIZC-2,Visualization & Characterization,Visualization,Performance: 90% of visualization operations complete in <3s; none exceed 10s.,Must Have,Requirements v1.1,Unchanged,,2,Confirmed,,
"CB1, R-11",VIZC-3,Visualization & Characterization,Characterization,System SHALL enable similar filtering capabilities on both participant view and file view.,Must Have,Requirements v1.1,Unchanged,Identical filters displayed in both views.,1,Approved,,
R-15,VIZC-4,Visualization & Characterization,Characterization,"For ELITE, the characterization panel SHALL display both participant count and family count when related participants are in scope.",Must Have,New - Requirements v2.0,New,Panel shows 'N = X participants across Y families' for filter sets containing family study participants. Family count sourced from familyID column in Backend-Individuals.,3,Needs Discussion,Discuss and validate with Solly and LLFS.,
